Contig,HK_CF2,HK_CF35,HK_CF70,V_CF26,V_CF34,V_CF71
Phel_clc_contig_7273,7.691566966,8.652021775,7.674647078,6.644476415,6.426682405,6.581634455
Phel_clc_contig_744,10.9519667,11.78847353,10.53583825,10.05167485,9.584288146,9.397298563
Phel_clc_contig_3984,5.445802835,7.07017892,5.910396889,3.661304959,2.392647144,3.889658492
Phel_clc_contig_14226,6.361796427,7.832001344,5.910396889,4.207752323,5.18693628,3.889658492
Phel_clc_contig_17449,8.03570363,9.357235941,6.956762954,3.960242941,6.60527949,5.864488274
Phel_clc_contig_10256,4.83376549,6.753619243,3.980619444,3.661304959,3.24830712,2.791543215
Phel_clc_contig_15446,4.17268752,6.389115899,3.595730406,2.77106155,3.015319148,1.57269568
Phel_clc_contig_2588,10.14026063,11.92163478,9.269370303,9.433351545,8.295424575,7.894495849
Phel_clc_contig_6884,8.520588432,10.28783691,7.119017876,5.57314727,4.381221067,5.267408452
Phel_clc_contig_17485,4.657720026,6.119140338,4.089048934,3.661304959,1.938925593,2.307166193
Phel_clc_contig_5797,9.659692163,11.00855272,8.800341152,8.535099209,8.159030697,6.924194922
Phel_clc_contig_6569,7.181284467,8.35860681,5.292726543,5.739699614,3.92322526,4.230433605
Phel_clc_contig_7201,8.010266257,9.190033043,5.721175766,5.168172666,6.35356325,4.840150994
Phel_clc_contig_14757,7.822602058,8.274585952,6.564498591,6.087456476,6.302675476,5.026485819
Phel_clc_contig_23008,5.309441792,5.743466497,3.266861484,3.283788458,0,1.57269568
Phel_clc_contig_4501,8.452067406,9.038545102,6.051091454,5.816282258,5.577842694,6.285546481
Phel_clc_contig_21534,5.921740986,6.695421798,4.284151341,3.283788458,3.92322526,4.070088735
Phel_clc_contig_22269,4.273881366,5.185236219,2.231616727,0,0,0
Phel_clc_contig_3210,9.133987284,10.00070863,8.054874518,7.224623974,7.3572388,7.34796412
Phel_clc_contig_19570,4.83376549,5.702338941,3.863373549,0,2.392647144,2.791543215
Phel_clc_contig_7186,5.703311151,6.489231423,4.991190754,3.283788458,3.624884628,4.230433605
Phel_clc_contig_1157,7.542368724,7.704155418,7.831157741,5.958230212,5.739632114,6.801872582
Phel_clc_contig_18553,6.350256778,6.511227654,6.837479084,4.603133742,5.07008444,5.596619146
Phel_clc_contig_18875,5.285405918,5.497209964,5.939654432,0,2.392647144,4.070088735
Phel_clc_contig_15637,6.026957154,6.066091344,6.077655322,3.960242941,4.170325694,4.93632699
Phel_clc_contig_16885,6.893984639,7.00402491,6.942380786,5.280562933,5.295032364,5.763228304
Phel_clc_contig_10111,6.837250733,6.684902874,6.999069838,5.958230212,5.007904114,5.473796651
Phel_clc_contig_12343,9.228407945,9.329085913,9.662776952,7.923514088,6.328344618,7.688977594
Phel_clc_contig_13361,6.125016642,6.165270822,6.487341635,4.603133742,1.938925593,3.442651611
Phel_clc_contig_11435,6.963796614,6.548450497,6.868237335,5.384823459,3.448848104,5.111344363
Phel_clc_contig_12112,8.3014212,7.846230653,8.170448885,6.876777222,5.885093549,5.912570831
Phel_clc_contig_1717,6.111409052,5.971173349,6.077655322,5.168172666,4.170325694,4.840150994
Phel_clc_contig_2244,6.594778431,6.542635702,6.619772466,5.658825569,4.649063566,5.111344363
Phel_clc_contig_3233,12.45696884,12.24649054,12.25610125,10.9778639,10.08921012,10.3090967
Phel_clc_contig_1376,10.41821989,10.36837539,10.38181286,8.803141451,8.288902516,8.509056842
Phel_clc_contig_5609,8.360132032,8.332451054,8.393007261,6.685884099,6.138261559,6.611073501
Phel_clc_contig_1719,7.999226035,8.017381909,8.048174052,6.51260458,5.18693628,5.111344363
Phel_clc_contig_5866,11.65249335,11.5994497,11.7970073,10.00744684,9.138479933,9.071676069
Phel_clc_contig_13129,6.878001851,6.582848005,6.927853798,5.384823459,5.952671367,5.536512997
Phel_clc_contig_14850,8.295416309,7.609075289,8.344610159,5.658825569,6.540868865,5.473796651
