Feature	HK_CF2	HK_CF35	HK_CF70	V_CF71	V_CF34	V_CF26
seastar_clc_contig_1030	175	752	151	54	84	21
seastar_clc_contig_10300	21	1	1	15	4	24
seastar_clc_contig_10301	4	24	5	7	6	7
seastar_clc_contig_10302	97	436	47	16	36	13
seastar_clc_contig_10303	73	56	10	9	26	10
seastar_clc_contig_10304	10	15	2	11	19	12
seastar_clc_contig_10305	54	577	24	21	41	37
seastar_clc_contig_10306	23	319	18	19	46	16
seastar_clc_contig_10307	45	234	40	10	28	12
seastar_clc_contig_10308	8	43	0	0	0	1
seastar_clc_contig_10309	898	3801	509	136	250	238
seastar_clc_contig_1031	47738	142244	17961	1335	4609	842
seastar_clc_contig_10310	16	104	4	9	17	19
seastar_clc_contig_10311	36	323	24	11	29	11
seastar_clc_contig_10312	99	1777	52	6	116	21
seastar_clc_contig_10313	2	23	16	19	0	2
seastar_clc_contig_10314	143	1703	33	60	114	53
seastar_clc_contig_10315	43	225	15	0	2	2
seastar_clc_contig_10316	475	2666	152	34	178	120
seastar_clc_contig_10317	501	1696	300	40	172	103
seastar_clc_contig_10318	63	405	22	33	39	26
seastar_clc_contig_10319	59	411	57	3	18	12
seastar_clc_contig_1032	47	308	29	5	8	7
seastar_clc_contig_10320	36	343	17	21	47	11
seastar_clc_contig_10321	159	4553	109	29	19	47
seastar_clc_contig_10322	422	1563	236	103	147	88
seastar_clc_contig_10323	303	2532	45	36	98	60
seastar_clc_contig_10324	4	35	0	20	24	7
seastar_clc_contig_10325	27	210	7	6	26	12
seastar_clc_contig_10326	220	1201	150	51	140	77
seastar_clc_contig_10327	210	1033	100	44	128	81
seastar_clc_contig_10328	0	11	1	1	1	1
seastar_clc_contig_10329	16	211	18	7	12	11
seastar_clc_contig_1033	16196	35088	4109	1615	2034	2418
seastar_clc_contig_10330	261	1974	94	68	93	43
seastar_clc_contig_10331	68	169	11	1	22	10
seastar_clc_contig_10332	114	522	57	50	84	75
seastar_clc_contig_10333	0	26	0	7	3	0
seastar_clc_contig_10334	45	313	25	4	11	12
seastar_clc_contig_10335	4	39	2	21	5	100
seastar_clc_contig_10336	51	420	26	97	70	54
seastar_clc_contig_10337	24	191	20	6	23	12
seastar_clc_contig_10338	13	3	15	0	0	3
seastar_clc_contig_10339	16	166	19	5	30	22
seastar_clc_contig_1034	104	988	77	91	138	59
seastar_clc_contig_10340	62	196	32	9	32	13
seastar_clc_contig_10341	37	201	32	0	0	0
seastar_clc_contig_10342	158	641	108	66	253	89
seastar_clc_contig_10343	11	36	7	7	13	10
seastar_clc_contig_10344	48	733	46	94	136	68
seastar_clc_contig_10345	139	822	73	24	23	28
seastar_clc_contig_10346	23	207	15	2	2	11
seastar_clc_contig_10347	145	738	50	97	72	51
seastar_clc_contig_10348	674	3739	237	139	179	155
seastar_clc_contig_10349	995	3033	435	23	66	32
seastar_clc_contig_1035	795	3495	457	276	588	411
seastar_clc_contig_10350	228	1069	111	36	55	83
seastar_clc_contig_10351	5	84	6	2	16	10
seastar_clc_contig_10352	20	63	4	0	9	0
seastar_clc_contig_10353	32	142	12	3	2	7
seastar_clc_contig_10354	40	169	13	15	5	26
seastar_clc_contig_10355	510	3319	158	40	164	128
seastar_clc_contig_10356	218	1105	221	41	89	105
seastar_clc_contig_10357	244	562	138	67	101	29
seastar_clc_contig_10358	335	1501	182	57	133	103
seastar_clc_contig_10359	58	102	33	42	34	11
seastar_clc_contig_1036	69	830	72	28	29	27
seastar_clc_contig_10360	20	57	25	26	32	24
seastar_clc_contig_10361	313	1505	207	56	175	69
seastar_clc_contig_10362	0	44	2	2	1	9
seastar_clc_contig_10363	34	276	26	19	49	34
seastar_clc_contig_10364	39	175	10	30	45	13
seastar_clc_contig_10365	7	140	13	1	7	22
seastar_clc_contig_10366	44	6	5	1	8	10
seastar_clc_contig_10367	18	33	4	2	16	5
seastar_clc_contig_10368	31	221	28	2	6	12
seastar_clc_contig_10369	460	2022	212	43	120	75
seastar_clc_contig_1037	19080	65866	9784	5372	9206	5402
seastar_clc_contig_10370	0	57	2	3	4	8
seastar_clc_contig_10371	21	76	5	25	14	8
seastar_clc_contig_10372	130	357	30	11	14	10
seastar_clc_contig_10373	0	11	1	34	22	1
seastar_clc_contig_10374	29	61	2	2	14	2
seastar_clc_contig_10375	36	30	9	4	4	12
seastar_clc_contig_10376	58	560	26	17	109	33
seastar_clc_contig_10377	96	619	52	27	92	73
seastar_clc_contig_10378	23	197	13	4	5	35
seastar_clc_contig_10379	31	420	20	21	25	10
seastar_clc_contig_1038	1515	1284	443	117	369	241
seastar_clc_contig_10380	422	9897	362	183	0	168
seastar_clc_contig_10381	23	108	3	5	17	2
seastar_clc_contig_10382	13	104	17	2	0	13
seastar_clc_contig_10383	0	29	7	71	30	6
seastar_clc_contig_10384	128	503	77	36	47	50
seastar_clc_contig_10385	565	2001	202	47	35	78
seastar_clc_contig_10386	48	66	18	5	20	10
seastar_clc_contig_10387	32	36	3	3	23	7
seastar_clc_contig_10388	411	978	174	106	352	159
seastar_clc_contig_10389	94	89	142	22	60	8
seastar_clc_contig_1039	361	2097	232	1052	1440	193
seastar_clc_contig_10390	105	1088	34	18	35	37
seastar_clc_contig_10391	10	41	0	4	5	6
seastar_clc_contig_10392	14	1431	95	5	23	5
seastar_clc_contig_10393	45	169	21	1	4	0
seastar_clc_contig_10394	33	77	5	1	0	0
seastar_clc_contig_10395	56	410	21	28	54	22
seastar_clc_contig_10396	7	80	10	17	2	7
seastar_clc_contig_10397	7	20	2	25	6	7
seastar_clc_contig_10398	53	433	26	11	8	21
seastar_clc_contig_10399	36	156	15	49	11	19
seastar_clc_contig_104	11755	82883	4533	1901	4686	2432
seastar_clc_contig_1040	681	2484	295	215	270	183
seastar_clc_contig_10400	119	686	64	9	13	26
seastar_clc_contig_10401	4	0	1	28	0	0
seastar_clc_contig_10402	15	268	21	36	28	33
seastar_clc_contig_10403	38	239	6	8	19	9
seastar_clc_contig_10404	184	873	76	27	79	52
seastar_clc_contig_10405	17	60	16	3	0	12
seastar_clc_contig_10406	429	3350	125	25	134	131
seastar_clc_contig_10407	81	604	33	104	61	37
seastar_clc_contig_10408	473	1430	180	25	65	18
seastar_clc_contig_10409	55	576	10	10	34	22
seastar_clc_contig_1041	1703	7667	979	1436	843	412
seastar_clc_contig_10410	28	88	33	10	183	15
seastar_clc_contig_10411	196	945	139	11	70	38
seastar_clc_contig_10412	263	1780	92	34	61	71
seastar_clc_contig_10413	117	785	63	4	32	27
seastar_clc_contig_10414	27	405	34	56	48	78
seastar_clc_contig_10415	37	329	19	18	25	15
seastar_clc_contig_10416	66	241	38	9	22	38
seastar_clc_contig_10417	86	393	15	8	6	50
seastar_clc_contig_10418	0	44	3	1	2	3
seastar_clc_contig_10419	40	29	2	2	10	26
seastar_clc_contig_1042	179	962	123	14	116	56
seastar_clc_contig_10420	0	26	1	5	0	0
seastar_clc_contig_10421	24	257	8	5	18	3
seastar_clc_contig_10422	6	15	1	2	0	2
seastar_clc_contig_10423	0	13	0	12	1	3
seastar_clc_contig_10424	51	460	19	3	0	8
seastar_clc_contig_10425	925	5121	405	85	582	225
seastar_clc_contig_10426	404	2099	59	16	45	151
seastar_clc_contig_10427	185	849	79	20	73	25
seastar_clc_contig_10428	58	449	43	3	32	3
seastar_clc_contig_10429	32	131	4	7	11	9
seastar_clc_contig_1043	12598	43789	7066	4661	5612	5191
seastar_clc_contig_10430	151	537	86	35	78	28
seastar_clc_contig_10431	275	786	127	77	183	74
seastar_clc_contig_10432	9	44	4	2	17	5
seastar_clc_contig_10433	36	441	8	44	40	16
seastar_clc_contig_10434	9	33	10	0	4	3
seastar_clc_contig_10435	63	384	26	12	22	22
seastar_clc_contig_10436	6	64	1	5	0	7
seastar_clc_contig_10437	167	774	102	34	59	26
seastar_clc_contig_10438	277	1561	142	28	75	32
seastar_clc_contig_10439	351	977	178	21	123	39
seastar_clc_contig_1044	527	4994	834	50	107	99
seastar_clc_contig_10440	13	84	12	0	4	3
seastar_clc_contig_10441	161	1159	90	23	68	34
seastar_clc_contig_10442	32	134	14	5	5	7
seastar_clc_contig_10443	26	140	15	8	10	10
seastar_clc_contig_10444	44	1143	49	26	79	39
seastar_clc_contig_10445	0	27	2	0	0	8
seastar_clc_contig_10446	12	80	1	2	6	1
seastar_clc_contig_10447	3	77	8	2	5	2
seastar_clc_contig_10448	668	2291	389	129	289	216
seastar_clc_contig_10449	12	118	35	0	0	0
seastar_clc_contig_1045	176	776	72	67	210	119
seastar_clc_contig_10450	56	290	53	50	28	21
seastar_clc_contig_10451	7	148	8	1	0	0
seastar_clc_contig_10452	79	403	56	12	23	21
seastar_clc_contig_10453	165	126	57	16	34	19
seastar_clc_contig_10454	35	38	12	3	15	5
seastar_clc_contig_10455	9	141	2	7	6	3
seastar_clc_contig_10456	5	184	8	5	3	3
seastar_clc_contig_10457	14	203	9	11	0	3
seastar_clc_contig_10458	195	609	167	57	158	107
seastar_clc_contig_10459	61	541	44	49	87	97
seastar_clc_contig_1046	0	11	4958	423	446	20
seastar_clc_contig_10460	1309	7611	104	57	75	19
seastar_clc_contig_10461	17	298	5	18	30	14
seastar_clc_contig_10462	173	546	115	12	44	35
seastar_clc_contig_10463	11	63	7	8	0	0
seastar_clc_contig_10464	195	854	67	21	93	35
seastar_clc_contig_10465	67	565	23	3	32	16
seastar_clc_contig_10466	96	700	53	39	61	43
seastar_clc_contig_10467	145	874	110	20	117	45
seastar_clc_contig_10468	256	1013	146	14	57	61
seastar_clc_contig_10469	78	570	60	16	24	26
seastar_clc_contig_1047	24	138	9	24	28	20
seastar_clc_contig_10470	13	59	4	0	0	31
seastar_clc_contig_10471	71	337	81	13	24	10
seastar_clc_contig_10472	44	1113	51	51	30	34
seastar_clc_contig_10473	7	200	9	5	7	0
seastar_clc_contig_10474	161	984	94	54	98	84
seastar_clc_contig_10475	4	49	3	2	0	4
seastar_clc_contig_10476	51	29	12	6	7	16
seastar_clc_contig_10477	502	1476	134	23	87	39
seastar_clc_contig_10478	67	725	86	45	250	86
seastar_clc_contig_10479	13	152	19	6	14	8
seastar_clc_contig_1048	12	190	25	7	9	19
seastar_clc_contig_10480	27	664	9	14	21	4
seastar_clc_contig_10481	0	0	5	31	6	1
seastar_clc_contig_10482	36	64	5	5	3	4
seastar_clc_contig_10483	3	83	3	6	5	8
seastar_clc_contig_10484	274	926	116	32	89	45
seastar_clc_contig_10485	60	138	12	23	8	22
seastar_clc_contig_10486	62	329	25	14	39	22
seastar_clc_contig_10487	58	78	2	1	0	0
seastar_clc_contig_10488	287	1269	198	40	93	41
seastar_clc_contig_10489	25	375	10	20	30	14
