Contig	HK_CF2	HK_CF35	HK_CF70	V_CF26	V_CF34	V_CF71
Phel_clc_contig_12512	110.0693	114.1826	131.8463	26.2173	0	27.6438
Phel_clc_contig_13033	718.726	548.3276	704.8232	163.1296	158.7131	333.7003
Phel_clc_contig_18084	108.7589	87.0799	126.9175	8.7391	8.5025	29.6184
Phel_clc_contig_353	520.8634	489.3542	591.4601	230.1293	204.0597	292.2346
Phel_clc_contig_7382	225.3799	189.7189	246.4417	61.1736	49.5979	108.6007
Phel_clc_contig_2296	311.2077	321.719	378.288	99.043	111.9494	124.3971
Phel_clc_contig_12053	213.5868	203.5211	243.9773	20.3912	14.1708	21.7201
Phel_clc_contig_8679	618.4844	606.9247	727.0031	104.869	144.5423	134.2699
Phel_clc_contig_24694	43.2415	43.6655	65.3071	2.913	4.2512	0
Phel_clc_contig_17979	46.5174	37.8936	56.6816	2.913	5.6683	9.8728
Phel_clc_contig_4963	651.8983	576.1832	821.8831	122.3472	134.6227	173.7611
Phel_clc_contig_3737	943.4507	842.8185	1153.3472	131.0863	102.0299	155.9901
Phel_clc_contig_1314	319.0698	272.0307	396.7711	29.1303	48.1808	29.6184
Phel_clc_contig_3237	3245.0774	2886.3113	4084.7712	748.6485	916.8517	726.6373
Phel_clc_contig_5338	2679.0068	2104.5994	3419.3787	291.3029	368.4412	296.1837
Phel_clc_contig_8274	680.0707	638.0425	847.7595	215.5642	289.0846	276.4381
Phel_clc_contig_10050	422.5873	387.2172	457.1494	128.1733	110.5323	155.9901
Phel_clc_contig_1197	6498.0166	5560.1929	6805.4878	1564.2966	2017.924	2547.1794
Phel_clc_contig_6574	927.0714	784.8488	991.9279	247.6075	247.9892	333.7003
Phel_clc_contig_6393	747.5536	629.1338	782.4524	300.042	330.18	329.7512
Phel_clc_contig_657	1948.4878	1543.8497	2129.2563	227.2163	392.5316	361.3441
Phel_clc_contig_10654	330.2078	277.3007	358.5727	81.5648	26.9245	67.135
Phel_clc_contig_7205	452.0701	409.0499	453.4527	189.3469	184.2206	187.583
Phel_clc_contig_8035	1612.3835	1266.9254	1564.9048	230.1293	133.2057	284.3363
Phel_clc_contig_11219	78.6209	48.4335	77.6291	29.1303	17.005	17.771
Phel_clc_contig_3062	547.7256	337.9053	580.3702	180.6078	86.442	163.8883
Phel_clc_contig_12736	469.7598	304.2779	465.7748	104.869	109.1153	94.7788
Phel_clc_contig_562	290.2421	213.8101	296.9622	52.4345	42.5124	21.7201
Phel_clc_contig_21585	55.0346	35.0076	62.8426	8.7391	1.4171	5.9237
Phel_clc_contig_4428	4986.5303	3560.1145	5819.7207	1366.2107	709.9578	922.1185
Phel_clc_contig_3383	269.2766	222.8444	322.8386	78.6518	51.0149	78.9823
Phel_clc_contig_20794	190.6557	138.6503	218.1009	34.9563	32.5929	45.4148
Phel_clc_contig_7093	313.1732	200.0078	346.2506	17.4782	28.3416	55.2876
Phel_clc_contig_12972	312.518	273.6619	338.8573	52.4345	126.1202	150.0664
Phel_clc_contig_12409	200.4833	158.2245	211.9399	29.1303	65.1857	69.1095
Phel_clc_contig_14912	533.9669	416.3275	593.9245	139.8254	208.311	246.8197
Phel_clc_contig_768	153.9659	121.9621	171.277	46.6085	63.7687	73.0586
Phel_clc_contig_12278	524.1393	442.1754	730.6996	93.2169	124.7032	161.9137
Phel_clc_contig_8498	199.8281	166.6314	262.4604	43.6954	65.1857	86.8805
Phel_clc_contig_9745	32.1035	29.7377	44.3595	2.913	12.7537	11.8473
Phel_clc_contig_11243	161.1728	111.7986	187.2957	43.6954	53.8491	77.0078
Phel_clc_contig_3087	306.6215	209.7949	316.6776	104.869	114.7836	157.9646
Phel_clc_contig_386	169.0349	115.9393	192.2245	49.5215	41.0954	84.906
Phel_clc_contig_17830	170.3453	115.8138	190.9923	43.6954	59.5174	67.135
Phel_clc_contig_4792	1324.1069	789.7424	1404.7177	297.129	446.3806	442.3009
Phel_clc_contig_17408	178.2074	100.0039	223.0297	43.6954	24.0904	37.5166
Phel_clc_contig_2720	269.2766	188.8405	370.8948	72.8257	46.7637	86.8805
Phel_clc_contig_9225	575.8981	446.3161	751.6472	291.3029	259.3259	298.1582
Phel_clc_contig_999	5867.7393	4359.1421	6679.8022	3382.0269	2348.104	1727.738
Phel_clc_contig_16810	209.6557	215.1904	189.7601	55.3476	121.869	90.8297
Phel_clc_contig_13732	97.6209	106.7796	98.5767	2.913	36.8441	29.6184
Phel_clc_contig_3474	1170.7961	1245.8456	1218.6542	515.6061	702.8724	653.5786
Phel_clc_contig_10438	181.4832	195.8671	174.9736	81.5648	106.2811	63.1858
Phel_clc_contig_12582	178.2074	171.274	166.3481	26.2173	58.1003	19.7456
Phel_clc_contig_17511	290.2421	301.7684	267.3893	40.7824	96.3615	41.4657
Phel_clc_contig_2661	4363.4595	4238.0581	4050.2693	1299.2109	2207.8127	1113.6506
Phel_clc_contig_23300	19.6552	22.3346	22.1798	0	4.2512	0
Phel_clc_contig_13447	51.7588	48.0571	48.0561	8.7391	24.0904	11.8473
Phel_clc_contig_15229	125.1383	110.5439	117.0598	34.9563	62.3516	43.4403
Phel_clc_contig_24878	34.0691	31.7453	32.0374	5.8261	12.7537	7.8982
Phel_clc_contig_18839	37.3449	33.5019	35.734	8.7391	12.7537	9.8728
Phel_clc_contig_8176	1174.7272	1046.2141	1107.7555	139.8254	277.748	140.1936
Phel_clc_contig_13113	109.4141	75.2853	64.0748	20.3912	18.4221	35.542
Phel_clc_contig_17462	75.345	43.1635	46.8239	11.6521	5.6683	17.771
Phel_clc_contig_2563	642.0706	466.8941	469.4714	235.9554	245.1551	280.3872
Phel_clc_contig_1754	233.8972	176.6694	149.0972	58.2606	21.2562	43.4403
Phel_clc_contig_11508	464.5184	366.6392	276.0147	113.6081	38.2612	144.1427
Phel_clc_contig_3651	302.6904	225.3539	176.2058	72.8257	34.01	106.6261
Phel_clc_contig_3484	239.7937	172.0268	192.2245	40.7824	15.5879	98.7279
Phel_clc_contig_1499	3356.457	2972.8894	2359.6792	1287.5588	888.5101	667.4005
Phel_clc_contig_16745	20.9656	19.1977	13.5543	2.913	0	0
Phel_clc_contig_145	35212.9883	32966.1602	29540.9668	15037.0566	13893.0664	10840.3223
Phel_clc_contig_512	7588.2266	6791.4834	5887.4922	2703.291	2710.8767	1901.4991
Phel_clc_contig_12365	72.0692	51.3195	36.9663	0	0	0
Phel_clc_contig_2786	3426.5605	2802.2429	2008.4999	265.0857	308.9237	562.749
Phel_clc_contig_15084	322.3457	266.0079	221.7975	29.1303	53.8491	82.9314
