"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Phel_clc_contig_10315" 13.6694576511194 -2.52731687742123 0.68288832617598 -3.70092265535367 0.00021481695192895 0.00257854162573135
"Phel_clc_contig_10324" 18.7513561155019 2.79562874696788 0.703146703406498 3.97588260518614 7.01187111284308e-05 0.00103271113691472
"Phel_clc_contig_10332" 103.932828496882 0.920610941595943 0.332129095370898 2.77184671390464 0.00557392774829287 0.0336264760359016
"Phel_clc_contig_10336" 100.327822261364 1.78473401308289 0.517631374590479 3.44788608398182 0.000564992275240476 0.00567374609702438
"Phel_clc_contig_10341" 14.6733810155462 -3.81318000322658 0.767771402906198 -4.9665564369717 6.81522259194174e-07 2.0346643174062e-05
"Phel_clc_contig_10344" 129.739542685059 1.54568059175522 0.498400617035711 3.10128145696992 0.00192685046072284 0.0148031275497908
"Phel_clc_contig_10349" 300.242499795969 -2.6267485367928 0.402636389036628 -6.52387267598371 6.85148769872313e-11 5.64887725719775e-09
"Phel_clc_contig_10393" 14.2790044447437 -2.33165504535349 0.68346733705962 -3.41150910793283 0.000646043429683727 0.00629464351432429
"Phel_clc_contig_10394" 6.77672303968331 -2.20619355054029 0.800425079100732 -2.75627739328073 0.00584633925713548 0.0349180900971916
"Phel_clc_contig_10397" 17.2900911458318 2.36640605374225 0.726397965469308 3.25772670937118 0.00112308508625425 0.00970623391246046
"Phel_clc_contig_10408" 152.736727646269 -1.66538383531201 0.472952139182027 -3.52125235799186 0.000429513644160906 0.0045280417275273
"Phel_clc_contig_10414" 82.0657342359111 1.59307165885184 0.530303166280219 3.00407721497563 0.00266387708755849 0.0189960993538791
"Phel_clc_contig_10438" 134.276210513463 -1.07781577186086 0.364759925080084 -2.95486345333638 0.00312807462895958 0.0214663353221136
"Phel_clc_contig_1044" 414.102744273112 -1.89661423703805 0.469370132077912 -4.0407646490877 5.32772046830243e-05 0.000822226550623581
"Phel_clc_contig_10449" 11.0247893379153 -3.13079964570515 0.805132344908245 -3.88855281433508 0.000100843727824088 0.00138771033994566
"Phel_clc_contig_1045" 171.858194996527 1.20792206274965 0.353416492120387 3.41784294078215 0.000631195192830797 0.00617292993529998
"Phel_clc_contig_10459" 103.220238329598 1.39078983520282 0.399578553350893 3.48064185011825 0.000500213872286072 0.00513141572950147
"Phel_clc_contig_10460" 374.970918625881 -2.12044587671462 0.660353758526171 -3.21107565352122 0.00132239115874401 0.0110461035890622
"Phel_clc_contig_1047" 32.1218156261307 1.5332516748047 0.479774800260349 3.1957736712572 0.00139456458216623 0.0114932302450019
"Phel_clc_contig_10477" 158.594316336031 -1.22698616167544 0.462183285702489 -2.65476099987151 0.00793646167271145 0.0440639926286762
"Phel_clc_contig_10487" 8.96122056901388 -2.13354333690515 0.817450668429737 -2.60999644297011 0.00905431641171781 0.0486003012130288
"Phel_clc_contig_10499" 6.15203511207927 2.02827772942885 0.778872674679887 2.60411976869321 0.00921105624011593 0.0491584712707791
"Phel_clc_contig_10506" 53.5107914956017 1.60393921520956 0.4630705508497 3.4637037753026 0.000532792878509394 0.00538912796708488
